exp_rep,exp_unit,treatment,stress,inoculant,rep,spad,spad_bl_adj
3,43,Nutrient-PSB,nutrient,PSB,3,28.9,27.03
3,44,Nutrient-PSB_NF,nutrient,PSB_NF,2,20.2,18.33
3,45,a1None-sterile water,none,a1water,4,36.3,34.43
3,46,None-Commercial,none,Lalrise,5,47.1,45.23
3,48,Nutrient-PSB,nutrient,PSB,4,23.9,22.03
3,49,Nutrient-sterile water,nutrient,a1water,3,23.6,21.73
3,50,Nutrient-PSB,nutrient,PSB,5,48.1,46.23
3,51,None-NF,none,NF,4,24.7,22.83
3,52,Nutrient-PSB_NF,nutrient,PSB_NF,3,24.4,22.53
3,54,Nutrient-PSB,nutrient,PSB,6,28,26.13
3,55,None-PSB_NF,none,PSB_NF,2,34.9,33.03
3,56,Nutrient-PSB_NF,nutrient,PSB_NF,4,20.1,18.23
3,59,None-PSB,none,PSB,4,42.7,40.83
3,60,None-PSB_NF,none,PSB_NF,3,35.3,33.43
3,62,Nutrient-NF,nutrient,NF,5,19.7,17.83
3,63,Nutrient-Commercial,nutrient,Lalrise,4,35.4,33.53
3,64,None-PSB,none,PSB,5,50.9,49.03
3,65,a1None-sterile water,none,a1water,6,48.2,46.33
3,66,None-NF,none,NF,5,44.8,42.93
3,67,Nutrient-sterile water,nutrient,a1water,4,19,17.13
3,68,Nutrient-NF,nutrient,NF,6,22.8,20.93
3,69,None-NF,none,NF,6,27.8,25.93
3,70,Nutrient-PSB_NF,nutrient,PSB_NF,6,32.8,30.93
3,72,Nutrient-Commercial,nutrient,Lalrise,5,36.4,34.53
3,74,None-PSB,none,PSB,6,39.3,37.43
3,75,Nutrient-Commercial,nutrient,Lalrise,6,32.9,31.03
3,76,None-Commercial,none,Lalrise,6,45,43.13
3,79,None-PSB_NF,none,PSB_NF,4,43.7,41.83
3,81,None-PSB_NF,none,PSB_NF,5,48.5,46.63
3,85,Drought-PSB_NF,drought,PSB_NF,6,38,36.13
3,88,None-PSB_NF,none,PSB_NF,6,48.5,46.63
