exp_rep,exp_unit,treatment,stress,inoculant,rep,ag_biomass,ag_bl_adj
2,11,None-Commercial,none,Lalrise,3,0.0044,0.0134
2,12,Nutrient-sterile water,nutrient,a1water,1,0.0049,0.0139
2,13,Drought-PSB_NF,drought,PSB_NF,2,0.0013,0.0103
2,14,Nutrient-NF,nutrient,NF,1,0.0186,0.0276
2,16,Nutrient-sterile water,nutrient,a1water,2,0.0106,0.0196
2,17,Drought-PSB_NF,drought,PSB_NF,3,0.0117,0.0207
2,18,Nutrient-NF,nutrient,NF,3,0.0098,0.0188
2,19,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.0185,0.0275
2,20,Drought-NF,drought,NF,2,0.0108,0.0198
2,21,Nutrient-Commercial,nutrient,Lalrise,1,0.0024,0.0114
2,22,None-PSB_NF,none,PSB_NF,1,0.0123,0.0213
2,23,Nutrient-sterile water,nutrient,a1water,3,0.0087,0.0177
2,24,None-NF,none,NF,1,0.0481,0.0571
2,25,Drought-PSB,drought,PSB,1,0.0087,0.0177
2,26,Drought-PSB_NF,drought,PSB_NF,4,0.0087,0.0177
2,27,None-PSB_NF,none,PSB_NF,2,0.0341,0.0431
2,28,Drought-PSB,drought,PSB,2,0.0069,0.0159
2,29,Drought-NF,drought,NF,3,0.0092,0.0182
2,31,Nutrient-NF,nutrient,NF,4,0.0185,0.0275
2,32,Drought-NF,drought,NF,4,0.0136,0.0226
2,33,Drought-sterile water,drought,a1water,2,0.0063,0.0153
2,34,Nutrient-PSB,nutrient,PSB,3,0.0155,0.0245
2,35,Drought-PSB,drought,PSB,3,0.0138,0.0228
2,36,None-Commercial,none,Lalrise,4,0.002,0.011
2,37,None-PSB_NF,none,PSB_NF,3,0.0366,0.0456
2,38,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0313,0.0403
2,40,None-PSB,none,PSB,2,0.018,0.027
2,41,None-PSB,none,PSB,3,0.0463,0.0553
2,42,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0074,0.0164
2,43,None-PSB,none,PSB,4,0.0237,0.0327
2,44,Nutrient-Commercial,nutrient,Lalrise,2,0.0223,0.0313
2,45,None-NF,none,NF,2,0.0553,0.0643
2,46,Nutrient-Commercial,nutrient,Lalrise,3,0.0217,0.0307
2,47,Drought-PSB,drought,PSB,4,0.0076,0.0166
2,48,a1None-sterile water,none,a1water,2,0.0492,0.0582
2,49,None-PSB,none,PSB,5,0.055,0.064
2,50,None-Commercial,none,Lalrise,5,0.0135,0.0225
2,51,Nutrient-PSB,nutrient,PSB,4,0.0074,0.0164
2,52,Drought-sterile water,drought,a1water,3,0.0146,0.0236
2,53,Nutrient-sterile water,nutrient,a1water,4,0.0308,0.0398
2,54,Nutrient-Commercial,nutrient,Lalrise,4,0.0167,0.0257
2,55,Nutrient-NF,nutrient,NF,5,0.0144,0.0234
2,56,Drought-Commercial,drought,Lalrise,3,0.0058,0.0148
2,57,Nutrient-Commercial,nutrient,Lalrise,5,0.019,0.028
2,59,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0009,0.0099
2,60,Drought-sterile water,drought,a1water,4,0.0128,0.0218
2,61,Drought-NF,drought,NF,5,0.0045,0.0135
2,63,None-NF,none,NF,3,0.0011,0.0101
2,64,Drought-PSB_NF,drought,PSB_NF,5,0.01,0.019
2,65,Drought-sterile water,drought,a1water,5,0.0056,0.0146
2,67,Nutrient-sterile water,nutrient,a1water,5,0.002,0.011
2,68,a1None-sterile water,none,a1water,3,0.0281,0.0371
2,69,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.05,0.059
2,70,None-PSB,none,PSB,6,0.0198,0.0288
